COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05873,Vigía del Fuerte,AMBOS SEXOS,2018,"9,093"
5,Antioquia,05873,Vigía del Fuerte,HOMBRES,2018,"4,503"
5,Antioquia,05873,Vigía del Fuerte,MUJERES,2018,"4,590"
5,Antioquia,05885,Yalí,AMBOS SEXOS,2018,"7,608"
5,Antioquia,05885,Yalí,HOMBRES,2018,"3,933"
5,Antioquia,05885,Yalí,MUJERES,2018,"3,675"
5,Antioquia,05887,Yarumal,AMBOS SEXOS,2018,"41,542"
5,Antioquia,05887,Yarumal,HOMBRES,2018,"20,187"
5,Antioquia,05887,Yarumal,MUJERES,2018,"21,355"
5,Antioquia,05890,Yolombó,AMBOS SEXOS,2018,"22,538"
5,Antioquia,05890,Yolombó,HOMBRES,2018,"11,455"
5,Antioquia,05890,Yolombó,MUJERES,2018,"11,083"
5,Antioquia,05893,Yondó,AMBOS SEXOS,2018,"19,040"
5,Antioquia,05893,Yondó,HOMBRES,2018,"9,768"
5,Antioquia,05893,Yondó,MUJERES,2018,"9,272"
5,Antioquia,05895,Zaragoza,AMBOS SEXOS,2018,"24,651"
5,Antioquia,05895,Zaragoza,HOMBRES,2018,"12,331"
5,Antioquia,05895,Zaragoza,MUJERES,2018,"12,320"
8,Atlántico,08001,Barranquilla,AMBOS SEXOS,2018,"1,206,319"
8,Atlántico,08001,Barranquilla,HOMBRES,2018,"577,758"
8,Atlántico,08001,Barranquilla,MUJERES,2018,"628,561"
8,Atlántico,08078,Baranoa,AMBOS SEXOS,2018,"62,382"
8,Atlántico,08078,Baranoa,HOMBRES,2018,"31,116"
8,Atlántico,08078,Baranoa,MUJERES,2018,"31,266"
8,Atlántico,08137,Campo de La Cruz,AMBOS SEXOS,2018,"22,879"
8,Atlántico,08137,Campo de La Cruz,HOMBRES,2018,"11,420"
8,Atlántico,08137,Campo de La Cruz,MUJERES,2018,"11,459"
8,Atlántico,08141,Candelaria,AMBOS SEXOS,2018,"15,982"
8,Atlántico,08141,Candelaria,HOMBRES,2018,"8,133"
8,Atlántico,08141,Candelaria,MUJERES,2018,"7,849"
8,Atlántico,08296,Galapa,AMBOS SEXOS,2018,"60,708"
8,Atlántico,08296,Galapa,HOMBRES,2018,"30,472"
8,Atlántico,08296,Galapa,MUJERES,2018,"30,236"
8,Atlántico,08372,Juan de Acosta,AMBOS SEXOS,2018,"20,999"
8,Atlántico,08372,Juan de Acosta,HOMBRES,2018,"10,845"
8,Atlántico,08372,Juan de Acosta,MUJERES,2018,"10,154"
8,Atlántico,08421,Luruaco,AMBOS SEXOS,2018,"28,175"
8,Atlántico,08421,Luruaco,HOMBRES,2018,"14,041"
8,Atlántico,08421,Luruaco,MUJERES,2018,"14,134"
8,Atlántico,08433,Malambo,AMBOS SEXOS,2018,"128,203"
8,Atlántico,08433,Malambo,HOMBRES,2018,"63,660"
8,Atlántico,08433,Malambo,MUJERES,2018,"64,543"
8,Atlántico,08436,Manatí,AMBOS SEXOS,2018,"19,808"
